student_id,name,gender,nationality,program,current_semester,cgpa_target,career_goal,weekly_study_hours,engagement_score,absence_days_last_term,cgpa,current_semester_credits,academic_risk
STU0001,Student 0001,M,Other,B.Tech Computer Science and Engineering,3,9.0,AI/ML Engineer,20,64,6,3.38,16,Moderate
STU0002,Student 0002,M,Indian,B.Tech Computer Science and Engineering,6,8.0,Data Scientist,25,76,8,3.6,20,Moderate
STU0003,Student 0003,F,Indian,B.Tech Computer Science and Engineering,4,9.0,Software Engineer,15,69,6,3.52,16,Moderate
STU0004,Student 0004,F,Indian,B.Tech Computer Science and Engineering,4,9.0,Cybersecurity Engineer,17,57,3,3.46,16,Moderate
STU0005,Student 0005,F,Indian,B.Tech Computer Science and Engineering,3,9.0,Data Engineer,12,59,8,3.28,16,Moderate
STU0006,Student 0006,F,Indian,B.Tech Computer Science and Engineering,3,8.5,AI/ML Engineer,15,79,5,3.03,16,Moderate
STU0007,Student 0007,M,Indian,B.Tech Computer Science and Engineering,5,8.0,Data Scientist,19,66,8,3.43,20,Moderate
STU0008,Student 0008,F,Indian,B.Tech Computer Science and Engineering,5,8.0,Software Engineer,24,42,6,3.23,20,High
STU0009,Student 0009,M,Indian,B.Tech Computer Science and Engineering,3,9.0,Cybersecurity Engineer,25,54,8,3.49,16,Moderate
STU0010,Student 0010,F,Indian,B.Tech Computer Science and Engineering,6,9.0,Data Engineer,18,53,11,3.33,20,High
STU0011,Student 0011,M,Indian,B.Tech Computer Science and Engineering,4,8.0,AI/ML Engineer,25,63,9,3.28,16,Moderate
STU0012,Student 0012,M,Indian,B.Tech Computer Science and Engineering,7,8.0,Data Scientist,14,55,11,3.07,20,High
STU0013,Student 0013,F,Indian,B.Tech Computer Science and Engineering,4,9.0,Software Engineer,16,33,11,3.39,16,High
STU0014,Student 0014,M,Indian,B.Tech Computer Science and Engineering,6,9.5,Cybersecurity Engineer,8,71,8,2.97,20,Moderate
STU0015,Student 0015,M,Indian,B.Tech Computer Science and Engineering,4,9.0,Data Engineer,15,54,5,3.09,16,Moderate
STU0016,Student 0016,M,Indian,B.Tech Computer Science and Engineering,5,9.0,AI/ML Engineer,19,63,4,3.38,20,Moderate
STU0017,Student 0017,M,Indian,B.Tech Computer Science and Engineering,7,9.0,Data Scientist,20,79,5,3.5,20,Moderate
STU0018,Student 0018,M,Indian,B.Tech Computer Science and Engineering,7,8.5,Software Engineer,21,72,5,3.62,20,Moderate
STU0019,Student 0019,F,Bangladeshi,B.Tech Computer Science and Engineering,3,8.5,Cybersecurity Engineer,23,52,9,3.29,16,Moderate
STU0020,Student 0020,M,Other,B.Tech Computer Science and Engineering,3,8.0,Data Engineer,17,52,7,3.58,16,Moderate
STU0021,Student 0021,F,Nepali,B.Tech Computer Science and Engineering,7,8.5,AI/ML Engineer,22,56,10,3.48,20,Moderate
STU0022,Student 0022,M,Indian,B.Tech Computer Science and Engineering,5,8.0,Data Scientist,24,68,7,3.09,20,Moderate
STU0023,Student 0023,F,Indian,B.Tech Computer Science and Engineering,7,8.5,Software Engineer,27,76,5,3.27,20,Moderate
STU0024,Student 0024,M,Nepali,B.Tech Computer Science and Engineering,6,8.0,Cybersecurity Engineer,13,73,5,3.59,20,Moderate
STU0025,Student 0025,F,Indian,B.Tech Computer Science and Engineering,4,8.5,Data Engineer,23,56,1,3.64,16,Moderate
STU0026,Student 0026,F,Indian,B.Tech Computer Science and Engineering,5,8.5,AI/ML Engineer,15,57,7,3.11,20,Moderate
STU0027,Student 0027,M,Indian,B.Tech Computer Science and Engineering,6,8.5,Data Scientist,17,42,14,2.79,20,High
STU0028,Student 0028,F,Nepali,B.Tech Computer Science and Engineering,3,9.0,Software Engineer,23,73,5,3.72,16,Moderate
STU0029,Student 0029,F,Indian,B.Tech Computer Science and Engineering,3,9.0,Cybersecurity Engineer,17,59,8,3.49,16,Moderate
STU0030,Student 0030,F,Indian,B.Tech Computer Science and Engineering,6,8.5,Data Engineer,16,74,9,2.71,20,Moderate
STU0031,Student 0031,F,Bhutanese,B.Tech Computer Science and Engineering,7,8.5,AI/ML Engineer,16,57,5,3.4,20,Moderate
STU0032,Student 0032,F,Indian,B.Tech Computer Science and Engineering,5,8.5,Data Scientist,9,55,9,3.22,20,Moderate
STU0033,Student 0033,F,Indian,B.Tech Computer Science and Engineering,5,9.5,Software Engineer,18,69,5,3.43,20,Moderate
STU0034,Student 0034,F,Indian,B.Tech Computer Science and Engineering,7,8.5,Cybersecurity Engineer,15,66,7,3.26,20,Moderate
STU0035,Student 0035,F,Indian,B.Tech Computer Science and Engineering,7,9.0,Data Engineer,12,63,9,2.98,20,Moderate
STU0036,Student 0036,M,Indian,B.Tech Computer Science and Engineering,5,9.0,AI/ML Engineer,11,51,9,3.09,20,Moderate
STU0037,Student 0037,M,Indian,B.Tech Computer Science and Engineering,5,8.0,Data Scientist,26,68,6,3.48,20,Moderate
STU0038,Student 0038,M,Indian,B.Tech Computer Science and Engineering,6,8.5,Software Engineer,13,23,2,3.58,20,High
STU0039,Student 0039,M,Nepali,B.Tech Computer Science and Engineering,7,9.0,Cybersecurity Engineer,24,62,8,3.14,20,Moderate
STU0040,Student 0040,M,Indian,B.Tech Computer Science and Engineering,7,8.5,Data Engineer,23,78,9,3.5,20,Moderate
STU0041,Student 0041,M,Indian,B.Tech Computer Science and Engineering,6,9.5,AI/ML Engineer,23,73,8,3.6,20,Moderate
STU0042,Student 0042,M,Indian,B.Tech Computer Science and Engineering,4,8.5,Data Scientist,16,67,9,3.65,16,Moderate
STU0043,Student 0043,F,Indian,B.Tech Computer Science and Engineering,5,9.0,Software Engineer,16,56,5,3.66,20,Moderate
STU0044,Student 0044,M,Indian,B.Tech Computer Science and Engineering,3,9.0,Cybersecurity Engineer,12,67,10,3.25,16,Moderate
STU0045,Student 0045,M,Bangladeshi,B.Tech Computer Science and Engineering,3,8.5,Data Engineer,25,54,7,3.71,16,Moderate
STU0046,Student 0046,M,Indian,B.Tech Computer Science and Engineering,3,8.5,AI/ML Engineer,14,81,7,3.56,16,Moderate
STU0047,Student 0047,M,Indian,B.Tech Computer Science and Engineering,6,9.0,Data Scientist,15,43,9,3.43,20,High
STU0048,Student 0048,M,Indian,B.Tech Computer Science and Engineering,6,8.5,Software Engineer,16,55,5,3.4,20,Moderate
STU0049,Student 0049,F,Indian,B.Tech Computer Science and Engineering,6,9.5,Cybersecurity Engineer,10,65,10,3.58,20,Moderate
STU0050,Student 0050,M,Indian,B.Tech Computer Science and Engineering,3,9.0,Data Engineer,13,71,8,3.58,16,Moderate
STU0051,Student 0051,M,Indian,B.Tech Computer Science and Engineering,5,8.0,AI/ML Engineer,16,83,4,3.69,20,Moderate
STU0052,Student 0052,M,Indian,B.Tech Computer Science and Engineering,7,8.0,Data Scientist,14,71,13,3.26,20,High
STU0053,Student 0053,M,Indian,B.Tech Computer Science and Engineering,7,8.0,Software Engineer,19,46,10,2.99,20,Moderate
STU0054,Student 0054,F,Bangladeshi,B.Tech Computer Science and Engineering,6,9.0,Cybersecurity Engineer,24,58,5,3.56,20,Moderate
STU0055,Student 0055,F,Nepali,B.Tech Computer Science and Engineering,5,8.5,Data Engineer,23,49,8,3.7,20,Moderate
STU0056,Student 0056,M,Indian,B.Tech Computer Science and Engineering,4,8.5,AI/ML Engineer,20,74,12,3.59,16,High
STU0057,Student 0057,F,Indian,B.Tech Computer Science and Engineering,7,9.5,Data Scientist,24,87,6,3.31,20,Moderate
STU0058,Student 0058,M,Indian,B.Tech Computer Science and Engineering,4,8.5,Software Engineer,20,85,13,3.75,16,High
STU0059,Student 0059,M,Indian,B.Tech Computer Science and Engineering,3,9.5,Cybersecurity Engineer,22,68,4,3.85,16,Moderate
STU0060,Student 0060,F,Indian,B.Tech Computer Science and Engineering,5,8.5,Data Engineer,22,94,3,3.52,20,Moderate
STU0061,Student 0061,F,Indian,B.Tech Computer Science and Engineering,4,9.0,AI/ML Engineer,15,67,5,3.22,16,Moderate
STU0062,Student 0062,F,Indian,B.Tech Computer Science and Engineering,4,8.0,Data Scientist,10,51,4,3.17,16,Moderate
STU0063,Student 0063,F,Nepali,B.Tech Computer Science and Engineering,6,8.5,Software Engineer,16,63,7,3.44,20,Moderate
STU0064,Student 0064,M,Indian,B.Tech Computer Science and Engineering,6,8.5,Cybersecurity Engineer,16,31,4,3.22,20,High
STU0065,Student 0065,F,Indian,B.Tech Computer Science and Engineering,4,9.5,Data Engineer,14,50,2,3.32,16,Moderate
STU0066,Student 0066,M,Bhutanese,B.Tech Computer Science and Engineering,5,9.0,AI/ML Engineer,20,68,9,3.38,20,Moderate
STU0067,Student 0067,F,Indian,B.Tech Computer Science and Engineering,3,8.5,Data Scientist,15,63,6,3.31,16,Moderate
STU0068,Student 0068,M,Indian,B.Tech Computer Science and Engineering,7,9.0,Software Engineer,20,59,9,3.31,20,Moderate
STU0069,Student 0069,F,Indian,B.Tech Computer Science and Engineering,6,9.0,Cybersecurity Engineer,14,44,0,3.71,20,High
STU0070,Student 0070,F,Indian,B.Tech Computer Science and Engineering,5,8.5,Data Engineer,10,56,10,3.0,20,Moderate
STU0071,Student 0071,M,Nepali,B.Tech Computer Science and Engineering,7,9.0,AI/ML Engineer,10,81,8,3.43,20,Moderate
STU0072,Student 0072,F,Indian,B.Tech Computer Science and Engineering,5,9.0,Data Scientist,12,60,2,3.34,20,Moderate
STU0073,Student 0073,M,Indian,B.Tech Computer Science and Engineering,5,8.5,Software Engineer,19,72,5,3.42,20,Moderate
STU0074,Student 0074,M,Indian,B.Tech Computer Science and Engineering,3,9.0,Cybersecurity Engineer,10,55,11,3.32,16,High
STU0075,Student 0075,F,Bangladeshi,B.Tech Computer Science and Engineering,5,8.5,Data Engineer,14,61,9,3.55,20,Moderate
STU0076,Student 0076,F,Indian,B.Tech Computer Science and Engineering,7,8.5,AI/ML Engineer,13,57,11,3.41,20,High
STU0077,Student 0077,F,Nepali,B.Tech Computer Science and Engineering,3,8.5,Data Scientist,16,64,4,3.25,16,Moderate
STU0078,Student 0078,F,Bangladeshi,B.Tech Computer Science and Engineering,6,8.5,Software Engineer,27,49,10,3.77,20,Moderate
STU0079,Student 0079,M,Indian,B.Tech Computer Science and Engineering,6,8.5,Cybersecurity Engineer,13,78,9,3.49,20,Moderate
STU0080,Student 0080,M,Indian,B.Tech Computer Science and Engineering,6,8.5,Data Engineer,19,67,3,3.57,20,Moderate
STU0081,Student 0081,M,Indian,B.Tech Computer Science and Engineering,3,9.0,AI/ML Engineer,24,54,5,3.51,16,Moderate
STU0082,Student 0082,M,Indian,B.Tech Computer Science and Engineering,3,8.0,Data Scientist,22,82,6,3.46,16,Moderate
STU0083,Student 0083,M,Bhutanese,B.Tech Computer Science and Engineering,4,8.0,Software Engineer,15,38,9,3.54,16,High
STU0084,Student 0084,M,Indian,B.Tech Computer Science and Engineering,6,8.0,Cybersecurity Engineer,19,63,5,3.65,20,Moderate
